"범죄별(1)",범죄별(2),범죄별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",범죄별(2),범죄별(3),자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,전문직,전문직,전문직,전문직,전문직,전문직,전문직,공무원,공무원,기타,기타,기타,기타,기타,기타
"범죄별(1)",범죄별(2),범죄별(3),농임수산업,광업,제조업,건설업,도소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,교원(사립),사무원,기술자,점원,공원,운전자,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,의사,변호사,교수,종교가,언론인,예술인,기타전문직,공무원,군인,학생,주부,전경 의경,공익요원,무직자,미상
"형법범",과실범죄,과실치사상,90,-,12,37,4,-,27,8,1,2,16,1,2,5,-,348,3,10,12,1,3,44,15,1,-,290,1,-,14,49,135,8,2,2,11,1,9,78,23,-,94,107,-,1,595,461
"형법범",과실범죄,업무상과실치사상,145,2,67,405,10,1,21,19,1,1,10,46,6,1,-,735,8,9,61,2,7,145,4,-,3,1027,-,-,10,79,465,645,-,-,5,-,-,382,137,-,7,11,-,-,94,576
"형법범",과실범죄,실화,105,-,16,39,2,1,23,1,1,-,6,1,1,5,-,255,1,4,52,1,11,29,6,-,1,300,1,1,20,79,152,1,1,-,12,2,2,32,9,-,94,20,-,1,329,235
"형법범",기타형법범죄,명예,576,-,67,381,75,27,179,25,22,20,203,21,15,31,-,3342,63,120,122,45,18,733,182,59,19,3744,21,5,101,339,1331,97,25,58,176,174,117,857,424,1,1969,833,1,44,5070,11789
"형법범",기타형법범죄,권리행사방해,82,2,43,153,17,5,43,8,5,7,48,-,12,1,-,883,8,7,28,4,4,133,14,7,1,611,7,2,29,240,505,8,6,9,27,20,7,108,65,-,157,80,-,4,1167,2055
"형법범",기타형법범죄,신용업무경매,601,2,89,662,45,18,97,28,20,8,184,10,12,34,3,3078,48,55,194,14,25,614,106,39,20,2568,15,14,63,1029,1415,53,11,84,103,16,37,384,135,-,239,358,-,4,5069,4957
"형법범",기타형법범죄,주거침입,298,-,40,390,24,7,69,51,8,6,192,4,13,9,1,1664,13,35,135,8,27,216,48,30,10,1952,12,7,80,439,939,28,8,10,129,10,43,330,112,-,738,263,-,14,4045,2911
"형법범",기타형법범죄,비밀침해,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,8,-,-,1,1,-,-,-,-,-,27,-,-,1,-,4,2,6,1,2,-,-,8,4,-,4,4,-,-,12,35
"형법범",기타형법범죄,유기,2,-,-,1,-,-,-,-,1,-,1,2,-,-,-,28,12,-,-,1,-,1,-,-,-,14,-,-,-,3,27,3,-,-,5,-,-,100,12,-,3,4,-,2,43,46
"형법범",기타형법범죄,교통방해,413,-,19,62,4,-,8,4,-,-,11,-,3,5,-,229,2,6,5,-,-,76,4,5,1,105,-,-,2,20,80,2,1,5,16,4,4,20,11,-,2,45,-,-,210,421
"형법범",기타형법범죄,공무방해,189,1,37,171,23,14,49,7,13,2,37,7,14,31,1,1009,13,18,100,5,24,242,26,13,3,1413,9,10,51,592,740,11,7,13,33,5,19,187,122,-,281,84,2,9,2942,2028
"형법범",기타형법범죄,도주와범인은닉,11,-,3,2,1,-,4,-,-,1,1,-,1,-,-,62,-,1,-,1,1,16,-,1,-,74,-,-,2,19,36,-,1,-,1,-,1,18,11,-,17,8,-,2,95,101
"형법범",기타형법범죄,위증과증거인멸,59,-,4,65,7,-,3,4,2,5,42,1,4,1,-,229,2,9,3,2,1,25,7,1,1,218,4,-,7,26,71,11,9,9,10,5,4,81,102,-,21,54,-,-,331,892
"형법범",기타형법범죄,무고,121,-,25,72,10,9,25,15,6,3,46,7,1,6,-,680,11,18,13,4,1,61,21,14,1,486,9,2,12,36,166,21,16,26,33,9,23,173,130,-,93,137,-,2,933,1951
"형법범",기타형법범죄,공안을해하는죄,4,-,-,2,-,1,1,-,6,1,1,1,1,-,-,75,-,-,1,-,4,10,1,3,-,89,19,3,4,10,37,-,-,-,-,-,-,4,-,-,5,2,-,1,255,181
"형법범",기타형법범죄,내란의죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,12
"형법범",기타형법범죄,음용수에관한죄,3,-,-,1,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,2,-,-,1,-,-,-,1,2,-,-,-,1,-,-,2,-,-,-,-,-,-,3,5
"형법범",기타형법범죄,일수와수리에관한죄,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,1,4,-,-,-,-,-,5,47
"형법범",기타형법범죄,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9
